entry,phon,gloss,definition,part_of_speech,notes,etymology,morph_category,morph_type
ksona,ksona,prayer,prayer,noun,NA,NA,lexical,root
liein,ljein,guts,guts,noun,NA,NA,lexical,root
lof,lof,like,like,conjunction,NA,NA,grammatical,root
lomase,lomase,drink,drink,noun,NA,NA,lexical,root
loms-,loms,drink,drink,verb,NA,NA,lexical,bound root
lonu,lonu,child,child,noun,NA,NA,lexical,root
los-,los,hear,hear,verb,NA,NA,lexical,bound root
lukle,lukle,tongue,tongue,noun,NA,NA,lexical,root
maliman,maliman,moon,moon,noun,NA,NA,lexical,root
mallab-,mallab,obscure,obscure,verb,NA,NA,lexical,bound root
mamj-,mamdʒ,swim,swim,verb,NA,NA,lexical,bound root
mamu,mamu,breast,breast,noun,NA,NA,lexical,root
manai,manai,warrior,warrior,noun,NA,NA,lexical,root
manua,manwa,war,war,noun,NA,NA,lexical,root
maiaj,majadʒ,head,head,noun,NA,NA,lexical,root
meni,meni,army,army,noun,NA,NA,lexical,root
meunis-,meunis,sleep,sleep,verb,NA,NA,lexical,bound root
miaklo,mjaklo,rain,rain,noun,NA,NA,lexical,root
miant-,mjant,lie,lie,verb,NA,NA,lexical,bound root
naima,naima,past,past,noun,NA,NA,lexical,root
namsha,namʃa,star,star,noun,NA,NA,lexical,root
nana,nana,nose,nose,noun,NA,NA,lexical,root
nanti-,nantj,fight,fight,verb,NA,NA,lexical,bound root
ned,ned,man,man,noun,NA,NA,lexical,root
nem,nem,yesterday,yesterday,adverb,NA,NA,grammatical,root
nemo,nemo,sea,sea,noun,NA,NA,lexical,root
niofe,njofe,cloud,cloud,noun,NA,NA,lexical,root
noirgah-,noirgah,see,see,verb,NA,NA,lexical,bound root
non-,non,sew,sew,verb,NA,NA,lexical,bound root
nuorma,nworma,smoke,smoke,noun,NA,NA,lexical,root
od,od,answer,answer,noun,NA,NA,lexical,root
om-,om,be.STA,be.STA,verb,NA,NA,lexical,bound root
omra,omra,leg,leg,noun,NA,NA,lexical,root
oieb,ojeb,seed,seed,noun,NA,NA,lexical,root
peis,peis,ear,ear,noun,NA,NA,lexical,root
penantri,penantri,road,road,noun,NA,NA,lexical,root
ploit,plot,dust,dust,noun,NA,NA,lexical,root
prangr-,praŋgr,scratch,scratch,verb,NA,NA,lexical,bound root
pubahu-,pubahw,kill,kill,verb,NA,NA,lexical,bound root
pushait-,puʃait,scare,scare,verb,NA,NA,lexical,bound root
reik-,reik,turn,turn,verb,NA,rewik,lexical,bound root
riash-,rjaʃ,bite,bite,verb,NA,NA,lexical,bound root
rin-,rin,give,give,verb,NA,NA,lexical,bound root
sarsu,sarsu,burn,burn,noun,NA,NA,lexical,root
sash-,saʃ,laugh,laugh,verb,NA,NA,lexical,bound root
sek,sek,tomorrow,tomorrow,adverb,NA,NA,grammatical,root
sen,sen,meditation,meditation,noun,NA,NA,lexical,root
shaik,ʃaik,future,future,noun,NA,NA,lexical,root
shaka,ʃaka,nymph,nymph,noun,NA,NA,lexical,root
shaiet-,ʃajet,fear,fear,verb,NA,NA,lexical,bound root
shim-,ʃim,shine,shine,verb,NA,NA,lexical,bound root
shine,ʃine,mind,mind,noun,NA,NA,lexical,root
shinka,ʃiŋka,thought,thought,noun,NA,NA,lexical,root
shkoib-,ʃkoib,give.birth,give.birth,verb,NA,NA,lexical,bound root
shuhua,ʃuhwa,hair,hair,noun,NA,NA,lexical,root
sibon,sibon,meeting,meeting,noun,NA,NA,lexical,root
sibu-,sibw,meet,meet,verb,NA,NA,lexical,bound root
sies,sjes,leaf,leaf,noun,NA,NA,lexical,root
sinnatim,sinnatim,meditate,meditate,noun,NA,NA,lexical,root
sloku,sloku,help,help,noun,NA,NA,lexical,root
sodi-,sodj,say,say,verb,NA,NA,lexical,bound root
sotare,sotare,knowledge,knowledge,noun,NA,NA,lexical,root
stok-,stok,cut,cut,verb,NA,NA,lexical,bound root
sulk-,sulk,blow,blow,verb,NA,NA,lexical,bound root
sutar-,sutar,know,know,verb,NA,NA,lexical,bound root
tansio,tansjo,tooth,tooth,noun,NA,NA,lexical,root
tar,tar,life,life,noun,NA,NA,lexical,root
tarn-,tarn,live,live,verb,NA,NA,lexical,bound root
tarnen,tarnen,beginning,beginning,noun,NA,NA,lexical,root
tero,tero,west,west,noun,NA,NA,lexical,root
tety,teti,earth,earth,noun,NA,NA,lexical,root
tielp,tjelp,fruit,fruit,noun,NA,NA,lexical,root
tok-,tok,want,want,verb,NA,NA,lexical,bound root
toka,toka,evil,evil,adjective,NA,NA,lexical,root
tokle,tokle,parasite,parasite,noun,NA,NA,lexical,root
tore,tore,water,water,noun,NA,NA,lexical,root
tur-,tur,must,must,verb,NA,NA,lexical,bound root
tyto,tito,North,North,noun,NA,NA,lexical,root
uhash-,uhaʃ,split,split,verb,NA,NA,lexical,bound root
umua,umwa,neck,neck,noun,NA,NA,lexical,root
vampio,vampjo,snow,snow,noun,NA,NA,lexical,root
vebo,vebo,south,south,noun,NA,NA,lexical,root
viba,viba,fire,fire,noun,NA,NA,lexical,root
vieid-,vjeid,swell,swell,verb,NA,NA,lexical,bound root
vined,vined,other,other,pronoun,NA,NA,grammatical,root
vird-,vird,listen,listen,verb,NA,NA,lexical,bound root
voin-,voin,play,play,verb,NA,NA,lexical,bound root
vonsesh-,vonseʃ,flow,flow,verb,NA,NA,lexical,bound root
vuina,vwuina,flower,flower,noun,NA,NA,lexical,root
ial-,jal,sing,sing,verb,NA,yawal,lexical,bound root
iun,jun,witty,witty,adjective,NA,NA,lexical,root
